0002E1E1	Economic impact analysis
0AB83D91	Theme and Variations
0ABE3743	Nanochemistry
0AC00690	Adjacency matrix
0AD22386	Uncertainty principle
0AD2D23B	Physical exercise
0AEBC09D	Magma
0B1EFBA7	Hybrid intelligent system
0B24712F	Heat sink
0B274714	Computer performance
0B280B2E	Algebraic group
0B352502	Constructive solid geometry
0B38B74A	Cable
0B391ADD	Last Glacial Maximum
0B3B6674	Pulp
0B58419D	Meromorphic function
0B767C87	Digital native
0B85125C	Tissue microarray
0B9CD94F	Emergency medicine
0BA4B8C5	Automated reasoning
0BA70951	Multimodal distribution
0BA75F65	Security testing
0BCDCA11	Prais–Winsten estimation
0BD570CF	Multivibrator
0BF02621	Concept map
0BF710B7	Integrable system
0BF7FCAD	Distributed source coding
0BFA9646	Doubly fed electric machine
0C0228BF	Somatic embryogenesis
0C093D35	Online analytical processing
0C51C1A3	Radiosensitivity
0C54BFE2	Automated theorem proving
0C5AA883	Emerging technologies
1DCD8DB5	Gold
1E2C5488	Games
1EBF43B4	Oral hygiene
1F1DE8A3	Missile guidance
1F656B97	Petroleum industry
1F9C34D1	Silver
1FFDF902	Social Welfare
205741C0	Photovoltaics
210845D8	Radar
000A848D	Block design
000EB821	Lecithin—cholesterol acyltransferase
001FCFE0	Fluidized bed
00276D8B	Cell counting
0046D1ED	Face detection
00473CC5	Structural alignment
004BF3A0	False-consensus effect
004E16AB	Coherence
005079D5	Categorical variable
005412C1	Interpretation
005F86E1	Wavelength
006764AC	Pyrolytic carbon
0068414D	Cooperative diversity
006F6753	Isotopes of uranium
00768FA4	Electron beam physical vapor deposition
0076F940	Photooxygenation
007947C1	Algebraic connectivity
00802669	Regularization
0086864A	Systems management
0087DAFA	Reflection
009E866A	Batch file
00A6013D	Factor analysis
00B00026	Time consistency
00B2F26A	Inpainting
00B5D3BB	Electron shell
00B681F6	Phosphorylation
00D09F90	Bag-of-words model
00DB9821	Business cluster
00DE3B7B	Social cognitive theory
00E7B349	Quantum dynamics
00EC3DF8	Monte Carlo algorithm
01018302	Atom probe
01122B07	Space Science
0120964C	Algebraic expression
0131AC12	Choir
013C78BD	Type system
0141A30E	Beekeeping
01498788	Unimodality
014D6A51	Sequencing
01646F5D	Theobromine poisoning
01666085	Rake receiver
0166A15A	Clebsch–Gordan coefficients
017CE3B9	Bicyclic molecule
0180F1B2	Predictive Model Markup Language
0182BBC1	Virtual machine
01879C1E	Multiple-image Network Graphics
01A7430C	Uniform resource locator
01B7727C	Hilbert transform
01BE138B	Spinodal decomposition
01D68DDB	TCP Friendly Rate Control
01DBA9D2	Attractiveness
01E0C47D	Bone morphogenetic protein
01E435B9	Center of mass
01F53C16	Observable
01FDC04B	Aspirated consonant
02086EB8	Cortex
020AC2D2	Computer music
020DA09F	Market economy
0212082B	Preprocessor
021A4D57	International finance
02265993	Space-based radar
02291B97	Seeding
0246978A	Multivariate analysis
025FEB36	Design
026A8AA0	Overnight rate
028810B9	Magnetohydrodynamic drive
028A6B84	Circular DNA
0292B6BD	Preprint
0293FA46	Functionalism
02C09453	Gracility
02C21B79	Crystallinity
02C27B1D	Child mortality
02C2DF2C	Herbivore
02C48C30	Multiphysics
02EC4909	Secretion
02F5AB67	Shift register
031540C6	Column chromatography
031829BA	Point of care
031D0408	Fermion
03364CF7	Property
033F347C	Electrometer
03470E77	Distortion
034F9B38	Gene dosage
0356C416	Natural logarithm
037D593B	Competitive advantage
0386AC19	Nuclear transport
0387C3FA	Carrier sense multiple access with collision avoidance
038B9FAC	Ultimatum game
038BE602	Quantum Fourier transform
039FC1C7	Event correlation
03A409E1	Solid-state lighting
03A6EC44	Genome size
03C34FF4	Photorefractive effect
03C7300F	Atoms in molecules
03C93124	Loss network
03CB6AF1	Microchannel
03D08D0A	Quantity theory of money
03D42FD8	Critical micelle concentration
03DA7A76	Snowmelt
03DFCFBB	Semiosis
03E57F4E	Organic electronics
03FDAE2B	Eusociality
0403843F	Gene regulatory network
04128E0D	Interleukin 8
0413165C	Opportunity cost
041916B3	Dendroclimatology
041F032C	Pervaporation
04283E50	Wave–particle duality
04358434	Refractory period
045CC136	Polyurethane laminate
045F6B63	Plethysmograph
0461AEAD	Photon mapping
046457C1	Lagrange multiplier
0465435F	Spike-and-wave
047B5127	Rational function
0485A0E1	Radial basis function kernel
0493EFED	Differential thermal analysis
04984686	Database
04B2180A	Deregulation
04B37408	Enhanced vegetation index
04B49946	Concatenated error correction code
04BFBFB7	Geophysical imaging
04C01E32	Controller
04C13C01	Compliant mechanism
04C24973	Political philosophy
04C52EFA	Industry Standard Architecture
04CBDD55	Von Neumann architecture
04D27EDC	Elliptic flow
04D6C4C2	Antenna gain
04D9E416	Sigmoid function
04E11757	Internet of Things
04EC0E21	Data aggregator
05190E06	Protein tyrosine phosphatase
051E9649	Capability Maturity Model
052476AE	Strategic management
052C8328	Biology
0534EF39	Astrobiology
0537728C	Optical storage
0556B228	Software measurement
0557C4A1	Plant use of endophytic fungi in defense
0564950F	Philosophy of psychology
056E84D8	Nanofiber
0580C168	Ovule
058A699D	Permutation group
05910105	Java Memory Model
059405B3	Negative feedback
0594C6B3	Certificate authority
0598823F	Tumor necrosis factor receptor
059A1615	Neuropeptide Y receptor
05B79875	Rock mass rating
05BDA2B3	Discrete system
05C7365D	Community Climate System Model
05D3777E	Channel capacity
05D4AE8C	Reduction
05D52768	Signal averaging
05DA6797	Materialized view
05E26B7C	Mittag-Leffler function
05E98AA4	Oscillator strength
05F17943	Vector
05F6EDDA	Hemolymph
0603B160	Planetary system
06144166	Cathepsin K
0619142E	Mutation frequency
061D98EF	Synchronization
06318DBC	Video quality
063B883B	Formulation
063BCEC1	Automatic identification and data capture
0646DAE1	Storm
064E2AEC	Rorschach test
066B7984	Bessel function
066DD54E	Thermal energy
0676A836	Angular displacement
0679660C	Total Ozone Mapping Spectrometer
069C1CF8	Biomedical technology
069C5BD9	Combined cycle
06A2C3F5	Morphology
06A710F9	Permian–Triassic extinction event
06AA1101	Inclined plane
06BCE0E2	Computer network programming
06C401CF	Packet switching
06C915FB	Signal
06D9BABA	Air permeability specific surface
06DC44F5	Nakagami distribution
06E94B56	Process optimization
06E9C4C0	Surface weather analysis
0702BC49	Iterative learning control
070D2AD0	Neuropeptide
071FA02B	Journalism
07245C42	Computer Aided Design
0724C555	Computer number format
07299FDA	Backflow
072D3C5C	Symporter
07332934	Printed circuit board
0741CCE7	Reproductive health
0742DD3C	Computer security model
07478C79	Inverse system
074C5D99	Ethnocentrism
07613F52	Personal area network
07643428	Tensor contraction
078FA7E4	5-HT2A receptor
07927CD9	Megacity
079F551B	Existentialism
07B067CC	Astronomical unit
07B6A4B0	Random assignment
07B810B4	Approaches of management
07C329B0	Nusselt number
07CBEF3F	Haar measure
07D15138	Social influence
07D939DC	Dispute resolution
07DE5299	Intuition
080E05E9	Dynamic equilibrium
08127412	Dross
081B9F1B	Health
081F3B76	Economy
083005B9	Parallel programming model
0836166B	Plastic surgery
08475BDE	Valley
08489B89	Plasma renin activity
084E9CA8	Amperometry
085273D8	Justice
085751EA	Cardiac output
0859C676	Window function
085F8DC2	Iterated function
0865B8BC	Myoepithelial cell
087DA0B0	Arbitrage pricing theory
0893D5A2	Atmosphere
0899FA44	Two-phase flow
089A78EF	Unit root test
089D8FDA	Cryptochrome
08A82334	Labour economics
08AAB680	pH-sensitive polymers
08B4E4A7	Formal language
08BFAB08	Installation
08C0B8D0	Colpitts oscillator
08C0BE19	Ground truth
08C0D1CF	Self-determination theory
08CBEA9E	Extreme value theory
08D9D49C	Functional Safety
09057A11	Burrows–Wheeler transform
090A30DD	Slow light
090C4832	Switched-mode power supply
090F2D6E	Mel-frequency cepstrum
0925CBE8	Heterozygote advantage
095F68EE	Smelting
096000F8	Kalman filter
096BF9AD	Ideology
097A45E7	Barrel
097D04EE	Heat flux
09865DA2	Differentiation
09879307	Fertilisation
0994A104	Health care
09A708F1	Somatosensory evoked potential
09A775E6	Pointer
09B251AD	Tribometer
09BB8CC1	Performing arts
09BD18A6	Effective field theory
09C27BF6	Photoacoustic effect
09C63690	Data acquisition
09CC28FD	Void ratio
09D0BF11	Crystallographic defect
09D1EC44	Nitrification
09D8D618	Seismology
09DB006C	Project commissioning
09DB8FCD	Stinger
09E34DF0	Direct Instruction
09E72B3A	Poisson process
09EBA392	Quadratic function
09ED0C76	Hamming bound
09EF7C97	Interferometry
09F38608	Wave
09FEE4E9	Naturalistic observation
0A03F5E5	Balance
0A093333	Treadwheel
0A12E3C5	Dynamic recrystallization
0A1E571C	Neuroscience
0A1ECF17	Materials recovery facility
0A235A08	Axiom independence
0A2E1D8E	Bone morphogenetic protein 1
0A3EA75F	Suspension
0A541F49	False color
0A605A60	Delay calculation
0A74E216	Euler number
0A7A83FE	Data analysis
0A91EED8	Telomere
0A995773	Institutional economics
0A9A451D	Paleoecology
0AA23EE1	Flexural strength
0AAD7347	Domain of discourse
0AB4433F	Pulmonology
0AD5EA19	Anatomical terms of location
0B0190BE	Aqueous solution
0B088C85	Variable structure control
0B196D9E	Conditional expectation
0B1CAF71	Hermite interpolation
0B2855C9	Rejection sampling
0B2A3AB3	Case fatality rate
0B418EF8	Poisson bracket
0B46A0DF	Finite field arithmetic
0B4EAC76	Hospitality management studies
0B514321	Accretion
0B6245A2	Military tactics
0B697D55	Maximum likelihood sequence estimation
0B83BF45	GPS/INS
0B933B13	Hausdorff dimension
0BA04CEB	Founder effect
0BA31FE7	Molecular phylogenetics
0BABCAD2	Information extraction
0BB22630	Kramers–Kronig relations
0BCCB953	World energy resources
0BD421FF	Rheumatology
0BE20181	Programming language
0BF891D2	Transport
0BF9E010	STRIPS
0C011B4A	Lipophilicity
0C052B4E	Heisenberg model
0C099D79	Lactoperoxidase
0C0A344E	Systems engineering
0C120D9C	Cultivation theory
0C1315D0	Stellar wind
0C1D9542	Proof assistant
0C1E9A4A	Multivariate interpolation
0C213AE1	Anisotropic diffusion
0C491FAA	Multiple signal classification
0C59485E	Genetic screen
1DE15B46	Boron
1DEDE747	Palladium
1E0C6DDC	Compact disc
1E5A724E	Animal feed
1E9345E1	Hydrogen
1EDB127B	Idealism
1EEAD06D	Connective tissue
1F03DBF9	Archival science
1F0533DD	Laser
2092A185	Optical character recognition
209508F5	Hafnium
20A30523	Mind Control
20A63936	Literacy
20DF386D	Intellectual disability
213B4300	Firefighting
0012D77D	Gamma wave
001484BB	Authoritarian leadership style
0017A3BE	Normalized Difference Vegetation Index
00347E98	Genetic determinism
0035FA77	Electric-field integral equation
0040AE10	Urban density
00465930	Bimodal volcanism
005DBA51	Cutoff frequency
006E26E3	Gaussian function
006EF557	Primer
0074B786	Hybrid zone
0078B374	Gamma ray
0090E010	Network engineering
009252B0	Pheromone trap
00974886	Methods of computing square roots
00A3BBA4	Laser pumping
00A4BB31	Picture archiving and communication system
00B1788F	Photon upconversion
00B3041F	Spiking neural network
00C1FCD9	Perspective
00CCA927	Analog signal
00D3FA75	Secondary emission
00EEE2B2	LIDA
010B18C5	Image intensifier
010D152D	Deviance information criterion
01137192	Protein structure prediction
011C03DD	Characteristic
01454390	Investment
014F8011	Analysis
01516333	Internet security
0164BD30	Epipolar geometry
016E184C	1/N expansion
0182842D	Silver stain
018A8348	Lyapunov equation
018F53FB	Haemodynamic response
01987ED9	ARM architecture
019FB32F	Hidden sector
01A52F5A	Complex manifold
01BD15B0	Quantum well
01D58247	Volume rendering
01E6B1E6	Cholinesterase
01F1CB73	Zone plate
01F3885C	Indium tin oxide
01FD68E7	Holonomic brain theory
0210CF7A	Tempo rubato
021440E1	Price level
0218018A	Human nutrition
021C1A00	Polar effect
022F6FE9	Chemical kinetics
023ED6C6	Image subtraction
023F23A0	Speech-Language Pathology
02411302	Desiccant
0255CFF7	Spiral
0259D835	Molecular imprinting
025EA5D0	Electron electric dipole moment
02628748	Prefabrication
0269A9AC	Syncytium
026EF9FF	Transmission
02740135	Downscaling
02823364	Marching cubes
02924B0C	Environmental education
02991BE1	Solid-state physics
02A4F85A	Photometric stereo
02A58A15	Industrial wastewater treatment
02B81860	Deficit spending
02BE73CA	Pulse-position modulation
02C4EE9E	Branching fraction
02C6C543	Periodic point
02D26B2F	Health policy
02D5B25B	Biological dispersal
02ED34D1	Length
02F053A4	Geiger–Müller tube
02F072A6	Common Object Request Broker Architecture
030234B0	Isoelectric focusing
030DECD4	Planet
03174BCD	Luminous efficacy
031AACC7	Population model
0321C049	alpha-2-Macroglobulin
03378728	Zenith
0343D2D2	Anammox
03450888	Eddy current brake
0352ED3D	Inert gas
036F6220	Open-circuit voltage
03822640	Virtual file system
03931B58	Ductility
03991BE3	Magnetic dip
03A5AF6D	Response rate
03A94F1A	Anthropometry
03AA88B8	Globules of fat
03ABBC8A	Magnitude
03BB6DC6	Protein secondary structure
03E4C673	Asphaltene
03E72E3F	Pascalization
03E84FD5	Protein Data Bank (RCSB PDB)
03F449E0	Integrated production
03F4F0E7	Normal bundle
03F8DACE	Mitotic index
040461E5	IPsec
04202A1D	Heterotopia
042CF6EA	Oviparity
043596EE	Wave height
044284DD	Isotopes of oxygen
046185B9	Hot-carrier injection
046C28B4	Directed acyclic graph
046C6C62	Nanowire
04763C54	Double beta decay
0479A03B	Intramolecular force
047B13C5	Centralizer and normalizer
047F0AC7	Product innovation
048FE329	Oxygen saturation
04961C19	Graph coloring
04AD2CA0	Evolutionary biology
04AE225C	Hemorheology
04B73608	Hydrogenase
04BB452D	Micropipe
04BBCDA1	Social learning
04C678B5	Somatostatin receptor
04C83D56	Reverberation room
04D2524B	Noether's theorem
04D6C736	Conjugate gradient method
04D8928B	Bremsstrahlung
04DA0136	Etest
04DAE7B3	Phase margin
04DD98BF	Spanish Civil War
04E299D3	Broadcasting
0503918F	Vehicle tracking system
0513E1FC	Newton's method
0515EF39	Nymph
051E7FE0	Spatial multiplexing
05256372	Depreciation
052A4E16	Social cognition
0532BB53	Persistent current
05383264	Respiratory epithelium
0545EAE2	Data-flow analysis
0546137C	Ribosome
054E6D60	Dihedral angle
05696893	Sampled data systems
0573E3C4	Distributed memory
0574510A	Accident-proneness
0574CE95	Variable-gain amplifier
05758F58	Information
0586C72E	Transport phenomena
058E689D	Virial coefficient
05908468	Limit cycle
0596BEB8	Utility frequency
05BE3086	Cope rearrangement
05CFE0EA	Internationalization
05D0717C	Nonimaging optics
05DECF0D	Respiratory quotient
05ECC9A2	Vanishing point
05EFB5F4	Toughness
05FC5D35	Cyberethics
05FD3052	Approval voting
0603E3DC	Core self-evaluations
06182F52	Adaptive filter
0637C2F4	Gene
063E7FD4	Time shifting
06451D05	Clinker
0666B768	Photofermentation
0674D41D	Siderophore
068BCCEE	Germline
069B256F	Lexicology
06A132DB	C3 carbon fixation
06BF9A8F	Physicalism
06C13451	Exchangeable random variables
06C370DD	Axion
06C65261	Salt-and-pepper noise
06C6CB89	Operculum
06E8E0BF	Knowledge-based systems
06ED4011	Test validity
07238249	Optometry
0732B530	Dihydrolipoamide dehydrogenase
0738B62A	Transthyretin
0758E53B	Amorphous metal
0758F021	Theory of reasoned action
07596428	NFKB1
075B0753	Part of speech
077B10F7	Polarization
07806D30	Star formation
078A1A8A	Plastic pipework
078B702C	Singular function
078C7548	Drainage basin
07924C8D	Loud music
07A216F7	Augmented Dickey–Fuller test
07AF0726	Topological insulator
07BA062D	Opportunism
07C28274	Spacetime
07CBCF20	Reverse osmosis
07D45A45	Telecom infrastructure sharing
07DAA7F3	Harmonic analysis
07DEEE2B	Methacrylate
07EAC53A	Poincaré series
07EBEABB	Malate dehydrogenase
07F36828	Vickers hardness test
080DC8F7	Hegemony
08121DFE	Piezoelectric coefficient
08162C64	Néel temperature
08181F22	Retinal scan
081F4FDB	Traction motor
08230125	Peripheral chemoreceptors
082C64C9	Matrix
0833B9ED	Land tenure
08468208	Throughput accounting
08484776	Mandarin Chinese
0850D2F7	Slug flow
086B796B	Corporate social responsibility
08711796	f(R) gravity
08745971	Automatic test equipment
089E5707	Thromboplastin
08A30745	Total order
08B4C515	Array data structure
08B80753	Bank
08BC47D9	Pulmonary wedge pressure
08C1E9C0	Biotic stress
08F29CAB	Ecological succession
08F93E3E	SIMD
0900D680	Money
090A3131	Heating element
091105B8	Cell-free fetal DNA
0914EA9E	Density functional theory
09346313	PDZ domain
09350EEA	PIN1
09468F79	Selectin
094F7B19	Plant cell
095622CD	Item bank
0960BB9B	Reynolds equation
0961C6A2	Recombination signal sequences
097EFF8F	Photon
098B9E6C	TRPV1
0993A562	Wafer
09987809	Pulse-code modulation
09AF0B01	Input/output
09B97AB6	Time of arrival
09BF0AC3	Psychological testing
09C2A923	Radiant intensity
09D02E18	Nutrient cycle
09D0869E	Piecewise
09D13467	Cardiology
09DA5D5B	Sociometry
09E48A87	Common subexpression elimination
09E74401	Dynamic balance
09EA55AC	Root-mean-square speed
09F52E90	Vulnerability assessment
0A0457D2	Asphalt
0A073E7A	Columella
0A1967DE	Human rights
0A26827E	Box–Behnken design
0A2FBEFD	Shear wall
0A3AD308	Auger effect
0A6FEA64	Pancreatic lipase
0A73DD56	Methanol fuel
0A77F9E4	Potential of mean force
0A7B6592	Travelling salesman problem
0A8A414C	Social semiotics
0A9E1056	Price index
0ACE6A8E	Focused assessment with sonography for trauma
0ADA9E92	Frequency synthesizer
0AFC434C	Pulverizer
0B036A79	Mains electricity
0B130EF1	Benchmark
0B146462	Extensometer
0B197D60	Differential algebraic equation
0B1C27F4	Optimal design
0B1C7195	Genetic association
0B227571	Photosensitivity
0B342680	Dirichlet L-function
0B3654AB	Lower critical solution temperature
0B36E8B3	Cognitive science
0B3DC24C	Boiling point
0B3EBC73	Neuroeconomics
0B4226B5	Active packaging
0B46BA12	Fully differential amplifier
0B48E559	Poverty
0B541978	Beamwidth
0B69D471	Cartesian doubt
0B8092A0	Marketing management
0B81DFCB	Numerical range
0B8321E9	Lysyl oxidase
0B88DEEC	Data loss
0B9CE73C	Adipokine
0BA7497D	Withdrawal reflex
0BAA3693	Facial expression
0BAB144A	Amplification factor
0BAC5D57	Pegmatite
0BAD7675	Host
0BBA8641	Maximal element
0BC52CFC	Biocide
0BC600F7	Neuroprosthetics
0BD4EB60	Amination
0BE46C8B	Source lines of code
0C030DE6	Haplogroup
0C03BD0F	Calcium signaling
0C21A669	Dopamine beta-monooxygenase
0C25725A	Instrumentation
0C29A0F8	Torque motor
0C3F0BFB	Extremophile
0C59B6E9	Top quark
1E1DE830	Lightning
1ECDDC6E	Hybrid vehicle
1ED7F307	Industrial Revolution
1F296047	Electroencephalography
205134CD	Designtheory
207B16EB	Financial accounting
20D6D871	Business studies
2134F9C1	Child and adolescent psychiatry
215D3E8F	Algae
000A3458	Vocational education
000E971F	Polyclonal antibodies
001F1EFF	Thermal power station
0034064E	Pentose phosphate pathway
0039868E	Gross national product
003F77D2	D-value
004A4B33	First law of thermodynamics
004E1EE9	Quality of service
005CCED8	Ti:sapphire laser
007084E5	Feature
00815104	Radioluminescence
0088F6B7	Atomic ratio
009D8BFD	Smooth pursuit
00A8FA0A	Hyperelliptic curve
00BF85CC	Somaclonal variation
00C540E8	Phospholipase
00C7FFFD	Kernel adaptive filter
00CD940D	Flash photolysis
00D630BD	Equations of motion
00DC72F2	Artificial Ants
00F41B84	Classical liberalism
00FDD591	Casting
00FF7ABA	Big Bang nucleosynthesis
0100D10F	Frame Relay
0122F109	Thin film
01292867	Welding
013343B6	Interoperability
014AF6C3	Spin polarization
01577590	PEST analysis
016577B3	d'
01717A7E	Magnetic circuit
017D70B3	Stimulation
018240CE	FEV1/FVC ratio
01900D77	Software Testing
019FD297	Neutron temperature
01A4C00E	Variables
01A8FB85	Bounded variation
01AAD115	Embryology
01B17148	Extracellular
01B41D82	Harmonic number
01B777DF	Hydrolysate
01DCE2A1	Water injection
01E0888D	Primary source
01E62B55	Cardiac index
01F5E149	Spectroscopy
01F5F45C	Risk management
01FAA444	Intermediate logic
02015B5B	Count data
0206C374	Waist–hip ratio
0213D638	Register-transfer level
021B0065	Time-invariant system
0229E9FA	Satellite navigation
022B3F73	Optic tract
023905EA	Ontogeny
023EC713	Thermal diffusivity
02590AAB	Corporate governance
0260C661	Social epistemology
026F3450	Buffer overflow
02781B85	Blind equalization
02925336	Conidium
029ABA69	Skew normal distribution
029F0E18	Kinematic wave
029F6432	Hinge
02A7B638	Category
02D42759	Stationary state
02D9EEDF	Stem cell line
02DB07D5	Process performance index
02E34E7C	Investor profile
02F8B468	Biomolecule
0300100B	Phenomenon
0309ACAE	Abnormality
030F38A6	Ising model
0316B616	Functional data analysis
03254350	Digital signal
03430D5F	Emission intensity
03592258	Pharmacophore
03596A1E	Peptide hormone
0366EE79	Occupancy grid mapping
037A3A21	Stock
0387F7C1	Sensible heat
038A5BE1	Cable theory
038BB89C	Requirements analysis
0390CE14	Meristics
039D50A4	Delphi method
039FB84C	Electric field
03A57408	Glutamate receptor
03BAF2B1	CPT symmetry
03D410A8	Habitat destruction
03D5E25F	Neuroregeneration
03D9FFEC	Variational method
03E3BFC1	Electronic business
03E73395	Video processing
03E7F2F5	Diaphragm
03FB0531	Biomedicine
03FCE3F8	Binary classification
040F7786	Informed consent
04125C69	Orthopedic surgery
04139FB4	Respirometry
04227DFE	Computer Animation
042C2D5E	Turbidity current
0432896E	Repeater
0457A37E	Magnetostriction
0461F3B0	Integrated marketing communications
046FD81E	NRF1
0481A9EA	Formal methods
04866821	Sampling bias
048B8743	Gene polymorphism
0490424C	Fractional Fourier transform
04904605	Laminar flow
04967CA6	Mobile phone signal
04999FDA	Oxidizing agent
049B3A26	Dosage form
049CC4AE	Z-value
049E1615	Comparative
04A01F5A	Radio receiver
04A06AB8	Gemination
04A0A695	Neural coding
04A77BC3	Ejection fraction
04A8C0D6	Data cube
04B1C582	Surf break
04B56F66	Information needs
04B7122E	Afterimage
04C40A5C	Crown glass
04C9286F	Design by contract
04DC738B	Environmental sociology
04FB04E0	Croatian
05072B02	Closed-end fund
05491D39	Suture
054F98C8	Excess supply
055ACD18	Read-only memory
055E8909	Snell's law
057A13EB	Average path length
057F3C23	Probability of error
0580D1B4	Polar orbit
059AFB9A	Phylogeography
05AE54FA	Thermal treatment
05B8F506	Immunoglobulin heavy chain
05BC301B	Network effect
05DC7C22	Glucokinase
05DF6EA9	Social conflict
05FCE7B8	Etching
060DED2C	Degasification
062ABA88	Score test
062FA298	Canon
0641FFFA	Alternative energy
065D6063	Electron mobility
065FF98D	Parallel transport
066CFE9D	Apprenticeship
067148D5	ATM card
06929614	Recreation
069C0534	Social class
06AC6D80	Chrysotile
06B03A0A	Gene conversion
06B09098	Chalcogenide glass
06B0B6C9	Superpartner
06B6A4FE	White noise
06BB899B	Graph drawing
06BCD112	Nutrition
06BF86E0	Petroleum reservoir
06D08FEB	Marx generator
06D95C05	Excitation–contraction coupling
06E38B86	Soft sensor
06F8A2E4	Memory segmentation
06FD05F2	Technical analysis
06FD180E	Adult development
07001BBC	Software quality
070C1210	Abrasion
070E1C76	Atmospheric model
071DD1C1	Polyester
072332D7	Exposure
0730325C	Multiplex ligation-dependent probe amplification
0737AC8D	Moduli
073CD429	Private sector
073D982F	Semiconductor laser theory
073EA4C8	Colossal magnetoresistance
07531626	Low-impact development
0759BB41	Thymidylate synthase
075A7A84	Tabu search
075D3CC0	Strength training
07604545	Prehistoric demography
0764D175	Computational logic
07670FB5	Braid
0772AE7C	Fecal coliform
07777389	Protease-activated receptor 2
07A49CC0	Discourse community
07B11CA8	Rural area
07BD9DE3	HYDROSOL
07C1118F	Sensation
07C51F1F	Discrete phase-type distribution
07CB5B0D	Mortar
07D69642	Ethnomusicology
07D8966E	Continuing professional development
080452A5	Electron capture detector
080A5DF4	Intracellular pH
08108E72	Work systems
08164542	Bearing capacity
08220D9A	Innate immune system
0825CDF9	Bitstream
082DCF5A	Synthetic seismogram
0831E8B8	Resistor
0832877F	Erasure code
083AF770	Stratopause
085FA54F	Television
08866383	Gloss
089071ED	Revenue equivalence
0892E9FE	Demographic transition
08A0106B	Tobacco mosaic virus
08A88363	Binary opposition
08B2E511	Dual quaternion
08B56F66	X-ray detector
08CABD86	Delay differential equation
08CDDB4B	Fibroblast growth factor receptor 3
08D827D1	Regional science
08EBC70D	Thermal spraying
08EC6C8C	Riparian forest
08EDE4D3	Dynamic simulation
08F3C475	Osmosis
08F6D5AD	Adsorption
0901E88C	Passive radar
09037CA4	Function point
090B0CE0	Publishing
09166027	Room temperature
091ABF1F	Summative assessment
091F193C	Wax
0924D476	Von Neumann algebra
0929E474	Data center
0940FAFD	Interior point method
094410C0	Feature detection
0952602A	Multimethodology
09614554	Genus
09699AB6	Bubble
096C80A4	Inclinometer
096E9474	Generalized hypergeometric function
096FB0D8	Microcell
09700CE1	Homomorphic encryption
0970E0A5	Summation
0971D05C	Adrenergic
0971D8C8	DNA supercoil
0989C106	Cardiothoracic surgery
09A765C7	Random early detection
09D26D72	Diversity gain
09D8D1FB	Photolyase
09D9C61C	ATP-binding cassette family
09DBE042	Partial equilibrium
09DE2FBE	Keynesian economics
09E150E8	Algebraic variety
09E97551	Cambium
09EA30FD	Allosteric regulation
09F1C38D	Graben
0A1ECFC1	Equivalent width
0A227708	On-off keying
0A2D33A3	Pharmacogenomics
0A42AC8A	Conscientiousness
0A5513A4	Eclogite
0A57EC25	Truss
0A59C53D	Digital divide
0A687741	TRIAC
0A72AC31	Bang–bang control
0A7955E6	Scaling dimension
0AA4A76D	Time preference
0AAEC5B2	Short-term memory
0ABD9D9D	Information system
0ACDBE21	Synthetic aperture sonar
0ADABDAB	Cherenkov Telescope Array
0ADFF6B2	Molecular encapsulation
0AE21B54	Network security
0AE33CDF	Coil spring
0AE495D3	Functional imaging
0AF2C524	Solar physics
0AF2C9EE	Cardiovascular physiology
0AF33F59	Discovery and development of mTOR inhibitors
0B01ACE5	Fair division
0B128E57	Enterprise software
0B23DBC5	Galerkin method
0B36D002	Stokes parameters
0B5FA9D2	Nanoreactor
0B6E7029	Jaro–Winkler distance
0B909F67	Phase synchronization
0B93E3B4	Processing
0B95C962	Thermochromism
0B98D057	Amplified spontaneous emission
0B98EDD0	Asynchronous Transfer Mode
0B9CE8EB	Fluidization
0BA8205E	Sparsity-of-effects principle
0BB6670F	Molar mass
0BB95F31	Input/output
0BC1C738	Seawater
0BC31EDA	Conjugate
0BCBBFA3	Cardinal direction
0BE20DF1	Nova
0BE36579	Reciprocity
0BE6C452	Hot spot
0BF1652C	Quantum Hall effect
0BF70A64	Polytomy
0BF98619	Induced radioactivity
0C034D67	Economic bubble
0C09E238	Newton's law of universal gravitation
0C12E7FB	Criminal law
0C1D1714	Design matrix
0C2C3181	Radio-frequency identification
0C32EE44	Core stability
0C36B267	Generating function
0C3D51FA	Gas chromatography–mass spectrometry
0C519AB8	Program Design Language
0C5566FB	Flight dynamics
1DF6892A	Europium
1DFDF356	Scarlet fever
1E8FBA52	Carbon monoxide
1EF9609F	Caesium
1F53462D	Hospitality industry
1F8C66A1	Epithelium
2013FEB7	Tellurium
204FD4B0	Psychotherapist
2076D0BD	Cadmium
20806FCA	Emergency medical services
20E66095	Christianity
211C9131	Milky Way
00013387	Trapezoidal rule
00098D02	Film
000BD533	Induction heating
0024A05E	Linear code
0025315B	Perfection
0026C1C8	Double auction
002C820B	Rayleigh–Taylor instability
00314E76	Polymer nanocomposite
003928D8	Symmetric function
0049FBB0	Motor controller
00504386	Pelletizing
00567B3D	Lorentz transformation
0061F379	Compact-open topology
0071B329	Solenoidal vector field
0093BEA7	Hydrogen fuel
00A06394	Emblem
00AB0D25	Linearization
00B9050D	Compound heterozygosity
00D38651	Fuchsian group
00DD07A7	Equivalent series resistance
00E1C098	Steam turbine
00E20745	Liminality
00EA2D77	Thermodynamic activity
00ECC8F9	Tragedy of the commons
